Date,Price,Vol.,Change %,SMA_30,EMA_30,month,quarter,day_of_week
2023-06-09,112.96,40.0,0.0137,106.83966666666667,109.20804915438816,6,2,4
2023-06-12,111.14,40.0,-0.0161,106.673,109.33269114442764,6,2,0
2023-06-13,112.45,40.0,0.0118,106.96766666666667,109.53380784478715,6,2,1
2023-06-14,112.75,40.0,0.0027,107.19233333333334,109.74130411286541,6,2,2
2023-06-15,112.93,40.0,0.0016,107.44066666666666,109.94702642816442,6,2,3
2023-06-16,113.02,40.0,0.0008,107.74566666666666,110.1452827876377,6,2,4
2023-06-20,113.08,40.0,0.0005,108.06333333333332,110.33461938198366,6,2,1
2023-06-21,112.85,40.0,-0.002,108.24500000000002,110.49690200250085,6,2,2
2023-06-22,112.85,40.0,0.0,108.47166666666666,110.64871477653305,6,2,3
2023-06-23,112.65,40.0,-0.0018,108.66499999999999,110.77782995224061,6,2,4
2023-06-26,112.46,40.0,-0.0017000000000000001,108.92033333333332,110.88635705209606,6,2,0
2023-06-27,112.6,40.0,0.0012,109.16833333333334,110.99691466163826,6,2,1
2023-06-28,112.64,40.0,0.0004,109.364,111.10292016733902,6,2,2
2023-06-29,112.62,40.0,-0.0002,109.55666666666666,111.20079628557522,6,2,3
2023-06-30,112.57,40.0,-0.0004,109.72966666666666,111.2891320090865,6,2,4
2023-07-03,110.87,40.0,-0.0151,109.84966666666666,111.26209123430674,7,3,0
2023-07-05,111.84,40.0,0.0087,110.00766666666667,111.29937567080309,7,3,2
2023-07-06,112.27,40.0,0.0038,110.17800000000001,111.36199659526741,7,3,3
2023-07-07,110.54,40.0,-0.0154,110.31133333333334,111.30896455686306,7,3,4
2023-07-10,109.21,40.0,-0.012,110.433,111.17354748867835,7,3,0
2023-07-11,109.34,40.0,0.0012,110.55766666666666,111.055254102312,7,3,1
2023-07-12,110.61,40.0,0.0116,110.731,111.02652803119511,7,3,2
2023-07-13,110.95,40.0,0.0031,110.92266666666667,111.02159073885996,7,3,3
2023-07-14,112.38,40.0,0.0129,111.16633333333333,111.10923004603029,7,3,4
2023-07-17,111.81,40.0,-0.0051,111.41,111.15444101080254,7,3,0
2023-07-18,112.17,40.0,0.0032,111.60466666666666,111.21996094558948,7,3,1
2023-07-19,112.08,40.0,-0.0008,111.76133333333333,111.27544733619662,7,3,2
2023-07-20,112.43,40.0,0.0031,111.88933333333334,111.3499346048291,7,3,3
2023-07-21,112.47,40.0,0.0004,111.999,111.42219688838851,7,3,4
2023-07-24,112.51,40.0,0.0004,112.03500000000001,111.49237773429894,7,3,0
2023-07-25,112.72,40.0,0.0019,112.027,111.57157917079579,7,3,1
2023-07-26,112.89,40.0,0.0015,112.08533333333334,111.65663857913155,7,3,2
2023-07-27,112.9,40.0,0.0001,112.10033333333332,111.73685544499403,7,3,3
2023-07-28,112.69,40.0,-0.0019,112.09833333333333,111.7983486420912,7,3,4
2023-07-31,112.46,40.0,-0.002,112.08266666666667,111.8410358264724,7,3,0
2023-08-01,108.32,40.0,-0.0368,111.926,111.6138722247645,8,3,1
2023-08-02,107.41,40.0,-0.0084,111.73700000000001,111.34265466187648,8,3,2
2023-08-03,104.26,40.0,-0.029300000000000003,111.45066666666668,110.88570919981993,8,3,3
2023-08-04,105.18,40.0,0.0088,111.195,110.5175989288638,8,3,4
2023-08-07,104.73,40.0,-0.0043,110.931,110.14420544958227,8,3,0
2023-08-08,104.41,40.0,-0.0031,110.66266666666667,109.77425671089955,8,3,1
2023-08-09,104.7,40.0,0.0028000000000000004,110.39933333333333,109.44688531019635,8,3,2
2023-08-10,104.6,40.0,-0.001,110.13133333333333,109.13418303211917,8,3,3
2023-08-11,105.37,40.0,0.0074,109.88966666666667,108.89133251391793,8,3,4
2023-08-14,104.63,40.0,-0.006999999999999999,109.625,108.61640783560065,8,3,0
2023-08-15,104.8,40.0,0.0016,109.42266666666666,108.37018797523933,8,3,1
2023-08-16,104.81,40.0,0.0001,109.18833333333332,108.1404984284497,8,3,2
2023-08-17,105.64,40.0,0.0079,108.96733333333333,107.97917594919488,8,3,3
2023-08-18,106.1,40.0,0.0044,108.81933333333333,107.85793879118232,8,3,4
2023-08-21,106.48,40.0,0.0036,108.72833333333332,107.76903951433187,8,3,0
2023-08-22,106.77,40.0,0.0027,108.64266666666667,107.70458535211691,8,3,1
2023-08-23,107.47,40.0,0.0066,108.538,107.68945081327067,8,3,2
2023-08-24,107.82,40.0,0.0033,108.43366666666665,107.69787334144675,8,3,3
2023-08-25,108.21,40.0,0.0036,108.29466666666667,107.73091377103084,8,3,4
2023-08-28,108.31,40.0,0.0009,108.17800000000001,107.76827417289982,8,3,0
2023-08-29,108.65,40.0,0.0031,108.06066666666668,107.8251597101321,8,3,1
2023-08-30,108.99,40.0,0.0031,107.95766666666667,107.90031069657519,8,3,2
2023-08-31,109.4,40.0,0.0038,107.85666666666665,107.99706484518325,8,3,3
2023-09-01,118.19,40.0,0.0803,108.04733333333334,108.65467356484885,9,3,4
2023-09-05,117.13,40.0,-0.009000000000000001,108.20133333333334,109.20146881872958,9,3,1
2023-09-06,118.97,40.0,0.015700000000000002,108.40966666666667,109.83169663687606,9,3,2
2023-09-07,117.4,40.0,-0.0132,108.56,110.31997427320665,9,3,3
2023-09-08,116.9,40.0,-0.0043,108.69333333333334,110.74449206203204,9,3,4
2023-09-11,118.23,40.0,0.011399999999999999,108.878,111.22742805802997,9,3,0
2023-09-12,120.33,40.0,0.0178,109.14033333333333,111.81469076396353,9,3,1
2023-09-13,120.53,40.0,0.0017000000000000001,109.54733333333334,112.3769687791917,9,3,2
2023-09-14,120.56,40.0,0.0002,109.98566666666667,112.90490627730837,9,3,3
2023-09-15,121.29,40.0,0.0060999999999999995,110.55333333333333,113.44588006586913,9,3,4
2023-09-18,122.2,40.0,0.0075,111.12066666666666,114.0106619971034,9,3,0
2023-09-19,122.16,40.0,-0.0003,111.70166666666665,114.53642573922576,9,3,1
2023-09-20,121.83,40.0,-0.0027,112.28233333333334,115.00697891734023,9,3,2
2023-09-21,121.69,40.0,-0.0011,112.84866666666667,115.4381415678344,9,3,3
2023-09-22,121.33,40.0,-0.003,113.40633333333334,115.81826146668381,9,3,4
2023-09-25,121.18,40.0,-0.0012,113.93333333333334,116.16418008173646,9,3,0
2023-09-26,120.93,40.0,-0.0021,114.47666666666666,116.47165233452766,9,3,1
2023-09-27,120.84,40.0,-0.0007000000000000001,115.01133333333334,116.75348121617104,9,3,2
2023-09-28,120.84,40.0,0.0,115.54566666666666,117.0171275893213,9,3,3
2023-09-29,120.79,40.0,-0.0004,116.05066666666667,117.26053871259091,9,3,4
2023-10-02,120.14,40.0,-0.0054,116.51866666666666,117.44631040855279,10,4,0
2023-10-03,118.44,40.0,-0.014199999999999999,116.91733333333333,117.51041941445261,10,4,1
2023-10-04,118.03,40.0,-0.0034999999999999996,117.29266666666668,117.54394074255245,10,4,2
2023-10-05,117.42,40.0,-0.0052,117.62433333333334,117.53594456561359,10,4,3
2023-10-06,117.74,40.0,0.0027,117.955,117.5491094323482,10,4,4
2023-10-09,118.18,40.0,0.0037,118.28733333333334,117.58981204961607,10,4,0
2023-10-10,117.4,40.0,-0.0066,118.59033333333333,117.57756611093117,10,4,1
2023-10-11,118.31,40.0,0.0078000000000000005,118.91233333333334,117.62481991022594,10,4,2
2023-10-12,117.42,40.0,-0.0075,119.19333333333334,117.61160572246943,10,4,3
2023-10-13,118.57,40.0,0.0098,119.49900000000001,117.6734376113424,10,4,4
2023-10-16,119.25,40.0,0.005699999999999999,119.53433333333334,117.77515131383643,10,4,0
2023-10-17,119.31,40.0,0.0005,119.607,117.87417380971796,10,4,1
2023-10-18,119.01,40.0,-0.0025,119.60833333333333,117.94745291876842,10,4,2
2023-10-19,119.04,40.0,0.0003,119.663,118.01793982723498,10,4,3
